description,name,name_kk,name_ru,description_kk,description_ru
"Кереуеттер, дивандар, үстелдер және үй мен кеңсеге арналған басқа жиһаздар.",Жиһаздар,Жиһаздар,Мебель,"Кереуеттер, дивандар, үстелдер және үй мен кеңсеге арналған басқа жиһаздар.","Кровати, диваны, столы и другая мебель для дома и офиса."
"Микротолқынды пештер, блендерлер және басқа да маңызды ас үй техникасы мен құралдары.",Ас үй техникасы,Ас үй техникасы,Кухонная техника,"Микротолқынды пештер, блендерлер және басқа да маңызды ас үй техникасы мен құралдары.","Микроволновые печи, блендеры и другие основные приборы и аксессуары для кухни."
Әртүрлі брендтерден смартфондар және ұялы аксессуарлар.,Смартфондар,Смартфондар,Смартфоны,Әртүрлі брендтерден смартфондар және ұялы аксессуарлар.,Смартфоны различных брендов и мобильные аксессуары.
Үй мен кеңсе үшін әртүрлі брендтер мен қуаттағы кондиционерлер.,Кондиционерлер,Кондиционерлер,Кондиционеры,Үй мен кеңсе үшін әртүрлі брендтер мен қуаттағы кондиционерлер.,Кондиционеры различных брендов и мощностей для дома и офиса.
"Роман, академиялық басылымдар және өзін-өзі дамытуға арналған нұсқаулықтарды қоса алғанда, әртүрлі кітаптар.",Кітаптар,Кітаптар,Книги,"Роман, академиялық басылымдар және өзін-өзі дамытуға арналған нұсқаулықтарды қоса алғанда, әртүрлі кітаптар.","Различные книги, включая романы, академические издания и руководства по саморазвитию."
"Десктоптар, ноутбуктер, аксессуарлар және компьютер перифериялық құрылғылары.",Компьютерлер,Компьютерлер,Компьютеры,"Десктоптар, ноутбуктер, аксессуарлар және компьютер перифериялық құрылғылары.","Настольные компьютеры, ноутбуки, аксессуары и периферийные устройства."
Барлық үй көлемдері мен қажеттіліктеріне арналған жетекші брендтердің тоңазытқыштары.,Тоңазытқыштар,Тоңазытқыштар,Холодильники,Барлық үй көлемдері мен қажеттіліктеріне арналған жетекші брендтердің тоңазытқыштары.,Холодильники ведущих брендов для любых объёмов и нужд вашего дома.
"Bluetooth динамиктер, саундбарлар және үйге арналған аудио жүйелер.",Аудио жүйелер,Аудио жүйелер,Аудиосистемы,"Bluetooth динамиктер, саундбарлар және үйге арналған аудио жүйелер.","Bluetooth-колонки, саундбары и домашние аудиосистемы."
"Smart TV, LED TV және жетекші өндірушілердің аксессуарлары.",ТВ және аксессуарлар,ТВ және аксессуарлар,ТВ и аксессуары,"Smart TV, LED TV және жетекші өндірушілердің аксессуарлары.","Smart TV, LED TV и аксессуары от ведущих производителей."
"Смарт-сағаттар мен аналогтық модельдерді қоса алғанда, ерлер мен әйелдерге арналған білезік сағаттар.",Сағаттар,Сағаттар,Часы,"Смарт-сағаттар мен аналогтық модельдерді қоса алғанда, ерлер мен әйелдерге арналған білезік сағаттар.",Наручные часы для мужчин и женщин: смарт-часы и аналоговые модели.
